dataset_id,family,backbone,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
Exathlon_id_16,Exathlon,DLinear,46655,42582,0,0,2948,43707,0.3584495631337664,0.2621976844118799,0.1987122634295459,0.2829871942461518,0.3203636269836776,0.2521984111363961,0.1783080934441293,0.2789699997245699,31757,30801,10,0.9747918085584036,0.5656564894075327,0.9749008305510516,0.5712245585691359,0.7638367678412334,0.9794019933554816,,ok,
Daphnet,Daphnet,DLinear,38774,35292,0,0,2306,36468,0.3209837268109193,0.1478775114350589,0.2188323286506271,0.1085384143147619,0.3085103655611003,0.1333453346805833,0.1873847615243829,0.0976724948401281,26488,25099,58,0.9045793905403028,0.2960318230364859,0.9075989755845691,0.2669362123264084,0.3912468860865455,0.691085003455425,,ok,
Exathlon_id_11,Exathlon,DLinear,46660,42586,0,0,2928,43732,0.6023703729282172,0.3357567673704911,0.4117402595495065,0.306655259761095,0.5070953227201863,0.323527637001097,0.3139284502946121,0.2986961461844343,31780,30824,27,0.9937046464456384,0.8494069822700793,0.994320690890704,0.8412995506815603,0.91775656976562,1.0,,ok,
Exathlon_id_12,Exathlon,DLinear,46660,42586,0,0,2928,43732,0.7688537057485698,0.321387617086972,0.4175961227865897,0.296772299084278,0.4467369790708099,0.3001703271655961,0.3295947745363378,0.286583291442139,31780,30824,27,0.9950397312568008,0.883990470763797,0.9956126662823528,0.8733797576974113,0.9315558150756734,1.0,,ok,
Exathlon_id_10,Exathlon,DLinear,46660,42586,0,0,2928,43732,0.5257496887705759,0.3174286343110949,0.4075606091833808,0.3083451778677273,0.4707907869951437,0.3094807697285096,0.3454106285760634,0.3015363251523567,31780,30824,27,0.997028379263862,0.946505557089233,0.9975195031647368,0.9419077875516922,0.930860014833465,1.0,,ok,
Exathlon_id_1,Exathlon,DLinear,43066,39262,0,0,5437,37629,0.7412639985187062,0.3758270429930902,0.6348702327828429,0.3221533785907008,0.5591999949329325,0.3595532954839259,0.4651189614797951,0.3152700550049717,26576,25907,30,0.9968931790342282,0.951849564061612,0.9972245757144658,0.9455166381642814,0.976043453750742,1.0,,ok,
Exathlon_id_13,Exathlon,DLinear,43066,39262,0,0,5437,37629,1.204202529296294,0.3857223571259279,0.6107200664168271,0.3222940642282919,0.6766189123975823,0.3660667332765716,0.4195039985323276,0.3150169775186639,26576,25907,125,0.9932702718392706,0.918978983038298,0.9948615860496944,0.8926603472037614,0.9652076912847124,1.0,,ok,
Exathlon_id_14,Exathlon,DLinear,46660,44228,0,0,5817,40843,277.29862410734484,0.8490563127707271,0.3253084115138253,0.4155191490458848,0.7879732395391674,0.3908943050313881,0.3132447024075051,0.3692909832872662,34550,32828,125,0.9605788011637886,0.8656474559684634,0.9770431532987311,0.8364710367562463,0.8908996013481518,0.9868521503096108,,ok,
Exathlon_id_2,Exathlon,DLinear,46656,42876,0,0,3787,42869,0.1014361256939351,0.1700918347301389,0.06799838432611,0.1594411085223766,0.098398848800407,0.1666231839620672,0.0638276222717492,0.1547263062092424,32085,31224,10,0.9745902124195424,0.8442749327961667,0.9756713975134548,0.841197777904423,0.9299845512796614,0.9990766389658357,,ok,
Exathlon_id_18,Exathlon,DLinear,46660,42586,0,0,2928,43732,0.7304708990868187,0.327275582325859,0.4121759085978742,0.3168225195020762,0.45593908916409,0.3076592328562863,0.3443883769160322,0.3067873849121859,31780,30824,27,0.9962909095714132,0.9260057154967062,0.9969014567659116,0.9158415851061884,0.9321900493344512,1.0,,ok,
CATSv2_id_1,CATSv2,DLinear,100000,94455,0,0,2000,98000,0.1119988574141072,0.0901250197670684,0.0105925016819447,0.0488665601468113,0.1074118910311934,0.0893905081235998,0.0036435656092806,0.0473622110282234,81332,80471,97,0.4965812295918367,0.0500109091489816,0.4985282792983166,0.0764868586755683,0.1850330572574827,0.2608695652173913,,ok,
Exathlon_id_19,Exathlon,DLinear,46660,42586,0,0,2928,43732,0.7144021374091121,0.3668101167820308,0.4255740413999773,0.3181571831261548,0.6312072487146089,0.3546803556079916,0.3744510335569412,0.3108292935139146,31780,30824,27,0.993866133651116,0.8488902917441988,0.9944964907196574,0.8389656500044349,0.9276448543815934,1.0,,ok,
Exathlon_id_20,Exathlon,DLinear,46650,43406,0,0,3891,42759,0.0674286150092145,0.116718050132988,0.0521213316035426,0.1056575974881154,0.0549441250857092,0.1119203223605527,0.0357971416601231,0.1018009505575343,33761,32613,10,0.9826815576779024,0.8810693981798035,0.9839910516936814,0.8763202825360101,0.9194859934925596,1.0,,ok,
Exathlon_id_21,Exathlon,DLinear,46649,43979,0,0,4856,41793,184.41566249940152,0.5498073204280982,0.1593301414337884,0.2287842889195974,0.1523191936300767,0.1849322962285238,0.1540361683771081,0.2129858994481391,34708,33273,125,0.9724066490368256,0.7917156442560057,0.9795971922401038,0.7385458656868774,0.8759463227464376,0.9714914474342302,,ok,
Exathlon_id_23,Exathlon,DLinear,46660,42586,0,0,2928,43732,0.5684489010551714,0.3136385304160283,0.3923100436755952,0.2886347832098942,0.460238372766824,0.3023842204401284,0.3337141797616613,0.280982298636757,31780,30824,27,0.9926671313699588,0.84390395010745,0.9932660712512426,0.8384743245441192,0.9080996802131942,1.0,,ok,
Exathlon_id_22,Exathlon,DLinear,43066,39262,0,0,5437,37629,1.1798602562490228,0.3801101420335574,0.6066148880958689,0.3498676486154166,0.669985915006477,0.3613353069975325,0.4438055963974517,0.3424018428039129,26576,25907,125,0.9884506157869104,0.8640001863216895,0.9900607477381844,0.8377245644796003,0.9449708770869252,1.0,,ok,
Exathlon_id_24,Exathlon,DLinear,43066,39262,0,0,5437,37629,0.7702757538992993,0.3955909068444472,0.6025256176989463,0.3520318384373634,0.6712459780424439,0.3839519899409735,0.4153355844284658,0.3523005002281109,26576,25907,125,0.9882264295966868,0.8555231131330717,0.9898384546761309,0.8279529703100772,0.949509571232198,1.0,,ok,
Exathlon_id_27,Exathlon,DLinear,43066,39262,0,0,5437,37629,1.0790504477501015,0.440233944414989,0.6119338780021651,0.4047886010636012,0.7534672639059403,0.4226034306470644,0.4742206050966636,0.4042282476625295,26576,25907,125,0.9721537544224118,0.7632251315017015,0.9738673379826612,0.7409163617518867,0.8636131780570646,1.0,,ok,
Exathlon_id_3,Exathlon,DLinear,43066,39262,0,0,5437,37629,0.9875404978175222,0.4686172779630019,0.645236382537864,0.4056845866711164,0.8109801492794835,0.4512713321716721,0.6055969081384331,0.4003353908366629,26576,25907,125,0.9903518897628416,0.8743960326252996,0.991957655605494,0.8399599226551075,0.9582912087195232,0.9999080459770114,,ok,
Exathlon_id_4,Exathlon,DLinear,46660,42586,0,0,2928,43732,1.3332268799894502,0.3353800709795986,0.4335514489819226,0.3137798223740606,0.4425415232579399,0.2995668417757015,0.3763454347938123,0.2984546095295909,31780,30824,27,0.9941737934083356,0.8476834217978031,0.9948120288338734,0.8340572822804512,0.9281338201920252,1.0,,ok,
Exathlon_id_6,Exathlon,DLinear,46660,42586,0,0,2928,43732,1.897173632680216,0.4805516317961135,0.6144886927227549,0.480553987466283,0.7770955069549881,0.4566408608293491,0.6072843113037595,0.4769193773927782,31780,30824,125,0.990414565255638,0.8808851936874719,0.9945053389303632,0.8355532088279509,0.8894430577314404,1.0,,ok,
Exathlon_id_8,Exathlon,DLinear,46655,42582,0,0,2948,43707,0.3318763666156835,0.2476561914936889,0.1817339944093123,0.2583792600846843,0.321062348179893,0.2441138249175577,0.1743176630577048,0.2572661599118165,31757,30801,10,0.9763444258561677,0.6393866570389007,0.976339235386346,0.6420877370677167,0.7681649990036952,1.0,,ok,
CATSv2_id_4,CATSv2,DLinear,195000,181907,0,0,5900,189100,0.1052516543441522,0.0831088455999983,0.0029116951604583,0.0400725438567149,0.103835663834708,0.0826410727748108,0.0023361905519293,0.0369343542325304,147273,144116,73,0.7930556099812673,0.2780579139126876,0.7420538630097897,0.4073425125692082,0.5186616954181751,0.7150660442943688,,ok,
Exathlon_id_15,Exathlon,DLinear,129197,124861,0,0,16105,113092,15314804749756.637,436892.5378734248,0.7751639749381232,0.3303421352038952,13157818460751.818,413236.7596398788,0.3626223263707556,0.3041301834774823,100454,97871,125,0.9684858161488048,0.7502832385065182,0.977420601215144,0.72192775148179,0.8648584018502187,0.5760709010339734,,ok,
Exathlon_id_7,Exathlon,DLinear,43066,39262,0,0,5437,37629,0.8250053538610682,0.3627230181891705,0.6136763421590422,0.3190380745716485,0.6451681616070392,0.3507531156694738,0.4155922644702273,0.3138622323384095,26576,25907,125,0.9894119070688658,0.8670834157435362,0.9910416789091416,0.840098131038108,0.9505653496293032,1.0,,ok,
Exathlon_id_9,Exathlon,DLinear,43066,39262,0,0,5437,37629,1.20115425971545,0.3868288945944493,0.6106046762577709,0.3464270936942452,0.6639091750654316,0.3650927286204533,0.4322330786860866,0.3376419015367514,26576,25907,125,0.9915861284401326,0.888123155805776,0.993285357066773,0.8528502481795547,0.9448953536059064,0.9936038011695908,,ok,
CATSv2_id_6,CATSv2,DLinear,200000,184426,0,0,4000,196000,0.1034853912693812,0.0823005336559015,0.0040015345699257,0.0427506563645481,0.1035507554997792,0.0823055281134045,0.0033118598448258,0.0425228934229777,145713,143609,189,0.695496912627551,0.2480003752998271,0.7200508909255114,0.3124250659650531,0.4640121371334255,0.7025045815516188,,ok,
Exathlon_id_17,Exathlon,DLinear,129197,124861,0,0,16105,113092,17675974982988.605,568548.7582601693,0.5464832525369102,0.3156986807544271,15503595144782.4,550133.9742316725,0.3693789719097589,0.2980679773166182,100454,97871,125,0.9699742055145064,0.7906795512745657,0.9793788962210442,0.7635419286725548,0.8642103271488597,0.4489737606552693,,ok,
Exathlon_id_25,Exathlon,DLinear,129197,124861,0,0,16105,113092,15520417572855.115,501412.2235057375,0.6041604116483255,0.307076781196512,13864501405123.574,488024.27523335855,0.3630302346944872,0.2889125194258415,100454,97871,125,0.9663142196664528,0.7740764831442695,0.9758448629288756,0.738693281754425,0.8428697026811286,0.7688049373480457,,ok,
Exathlon_id_26,Exathlon,DLinear,129197,124861,0,0,16105,113092,31875520517250.133,868781.6193339245,0.3995717695749694,0.309759999951483,29037313527010.52,844851.528471551,0.3709868220223651,0.294160527222605,100454,97871,125,0.9685284609685452,0.7640969064873461,0.9779858426162154,0.7350717889746998,0.8566723154301858,0.6863388853299167,,ok,
Exathlon_id_5,Exathlon,DLinear,129197,124861,0,0,16105,113092,40580823994219.32,944174.7300586948,0.7474458285127618,0.3163621514942834,36057747031692.14,909167.650782104,0.3808438037623806,0.2694233526792747,100454,97871,125,0.9651756868184556,0.7334946409932174,0.9740195102093198,0.7053319471683465,0.8374275838989471,0.5772998389133179,,ok,
GECCO,GECCO,DLinear,138521,133097,0,0,1726,136795,0.2199877707460739,0.2155834979919418,0.2207460179252637,0.1611394578929481,0.1529142951062213,0.2106011519618608,0.0888582405823483,0.1522174599051959,120361,107655,57,0.7115815983834868,0.0620696680415916,0.590836063419657,0.34814542643625,0.4496665823107945,0.5665839536807279,,ok,
GHL_id_1,GHL,DLinear,200001,184427,0,0,1850,198151,0.0161533083401705,0.024609355635588,0.0037836411696307,0.0169762470382444,0.0160766552009882,0.0245301761630697,0.0037973013621028,0.0168668399308366,147864,147332,125,0.3249466316092273,0.0141231981967184,0.3262935031859025,0.0133547008547008,0.0263571463332739,0.0263427692658199,,ok,
GHL_id_15,GHL,DLinear,200001,184427,0,0,1239,198762,0.0133330961697538,0.012905371646162,0.0023206818034408,0.0081491050960736,0.0133335742358727,0.0128925014832744,0.0022658097759767,0.0081069124052993,148475,148093,125,0.8163240872623817,0.0261050452031091,0.8163326461128656,0.0244213987300924,0.0549318532663855,0.071924070472818,,ok,
GHL_id_13,GHL,DLinear,200001,184427,0,0,1849,198152,0.0143249195250505,0.0141987897717547,0.0015749115179916,0.0066583838961393,0.0142628516699896,0.0141667039099925,0.0015691661264548,0.0066490400157271,147865,147332,125,0.734405910614074,0.034006789325502,0.7361559347253265,0.0321554032903203,0.0623066868697901,0.0621867958160965,,ok,
GHL_id_11,GHL,DLinear,200001,184427,0,0,1546,198455,0.0421900562747321,0.0795878705887702,0.0056694188623032,0.0482728550244896,0.0421225833578417,0.0795530609603321,0.0056201066271029,0.0482829427786036,148168,147499,125,0.7526176779007223,0.0257417220662254,0.7467155486725965,0.0213373543134014,0.052839734383815,0.0528086625335177,,ok,
GHL_id_10,GHL,DLinear,200001,184427,0,0,1855,198146,0.0147833564036487,0.0190270849414524,0.0028858244525986,0.0079455882345892,0.0147889459512383,0.0190465560399322,0.0028961397619387,0.0079727918590696,147859,147332,125,0.2946623610573521,0.0134183842274892,0.2954482711368527,0.0125135903760661,0.0253162057387281,0.0253033330832554,,ok,
GHL_id_12,GHL,DLinear,200001,187445,0,0,1051,198950,0.0192252150756103,0.0381112757027704,0.0037021409365778,0.0231558984974826,0.0191988808377267,0.0380966117643561,0.0037088284648712,0.0231455738730795,158912,158625,125,0.1803446926047763,0.0055950002819267,0.1831716410204756,0.0054191318504794,0.0114304465115202,0.0128680746862565,,ok,
GHL_id_14,GHL,DLinear,200001,184427,0,0,1771,198230,0.0247075135861104,0.0582181935725526,0.0052365585177429,0.03994693410503,0.0246180705191567,0.0581020509288566,0.0051715334883169,0.0397599211793243,147943,147407,125,0.4212606568127932,0.0159938314334457,0.4222891529816475,0.0151002276544767,0.029750912251899,0.0297152636789207,,ok,
GHL_id_17,GHL,DLinear,200001,184427,0,0,3583,196418,0.0156150980155305,0.0272720982235677,0.0033875011504837,0.0182101522611432,0.0154551958998087,0.0272163564053177,0.0032714551919407,0.018145795416145,146131,145332,125,0.775305725544502,0.0769291854891279,0.7769584567885759,0.0726141499300812,0.1353953291743703,0.1353454463037812,,ok,
GHL_id_16,GHL,DLinear,200001,184427,0,0,2728,197273,0.0176944185636694,0.0361399125578358,0.003098522361984,0.018704850199505,0.0176640336795861,0.0361428182630102,0.003109241423227,0.0187144309791007,146986,146332,125,0.3875016783089626,0.0229318054373041,0.3887655306046825,0.0215765394994328,0.04240823453344,0.0423842705881439,,ok,
GHL_id_2,GHL,DLinear,200001,184427,0,0,1847,198154,0.0146041570545268,0.0200793477553958,0.0026116615244166,0.0115109314119718,0.0145174296877792,0.0200450553903014,0.0025775844084059,0.0115349406745353,147867,147332,125,0.2511054797010844,0.0127767487931356,0.2520442296911121,0.0119774080185169,0.0241052674875148,0.0236142452582927,,ok,
GHL_id_19,GHL,DLinear,175001,161301,0,0,1129,173872,0.0656306783834619,0.1156761927128511,0.0100974161609281,0.0684032534092398,0.0656379149642733,0.1156341352211416,0.0100359103065788,0.0682559361805957,129835,129453,125,0.3410282987768284,0.0089436709509834,0.3434993170183286,0.0087531694235165,0.0185457128392535,0.0185261154231141,,ok,
GHL_id_18,GHL,DLinear,200001,184427,0,0,5549,194452,0.0134841058925128,0.0195491836020057,0.0022030029473624,0.0099651954556589,0.0133730691461744,0.0194952012428008,0.002200367913384,0.0098241327447152,144165,143337,125,0.5537639108880341,0.0618510144012327,0.5554843211192225,0.0595654694175486,0.1124327075074547,0.1122870209235501,,ok,
CATSv2_id_2,CATSv2,DLinear,195000,192748,0,0,6600,188400,0.1019806672799853,0.1132860949074083,0.0138647940935585,0.0556632346421281,0.1018160186343072,0.1131608775952836,0.0139758686354091,0.055505627116917,182708,179838,125,0.4122464698738982,0.0316785881667469,0.283674951963243,0.0272189610685578,0.0679862380381108,0.0689885855249404,,ok,
GHL_id_20,GHL,DLinear,200001,184427,0,0,1191,198810,0.0126227751425105,0.0143209356925072,0.0020792584445205,0.0069331275959263,0.0125935315675675,0.0143050516123438,0.0020802130530518,0.0069273735804669,148523,148141,125,0.364438408530758,0.0095617263260033,0.3647351119624308,0.0091526674146596,0.0181391319956525,0.0180916430584142,,ok,
CATSv2_id_5,CATSv2,DLinear,350000,340214,0,0,17100,332900,0.1088746963093925,0.1040073702344947,0.012029137796235,0.0750562505830884,0.1085917789599498,0.1039066269533228,0.0120004210513965,0.0750972769024984,302096,298365,296,0.6423674230007782,0.1823055852517242,0.6120789648171897,0.2680340467197463,0.3316752608879712,0.7327886271205071,,ok,
GHL_id_21,GHL,DLinear,200001,184427,0,0,971,199030,0.0199198416640479,0.0435243585158111,0.0036650386256223,0.0271169963396562,0.0198670512836969,0.0435092049909706,0.0036738164102914,0.0271640023393823,148743,148361,125,0.4914661106365874,0.0097452825870362,0.4923335979199563,0.0092388201712654,0.0183083100750074,0.0183012448993054,,ok,
Genesis,Genesis,DLinear,16220,14429,0,0,50,16170,0.2765155975513962,0.2025874482043818,0.1031599724508556,0.1468649890221844,0.2809901704511639,0.2032550105876988,0.1032602457000828,0.1466426391384079,11828,11163,125,0.955917130488559,0.3068245412910074,0.991781288476288,0.0948694115343615,0.2385935980652453,0.6153846153846154,,ok,
GHL_id_24,GHL,DLinear,200001,184427,0,0,1009,198992,0.0137654657441475,0.0106068024380369,0.0012131072011643,0.0057635388438463,0.0137317673007241,0.0105879199282749,0.0012116028835117,0.0057512317258439,148705,148323,125,0.5742793680147946,0.0119178853111502,0.574848362930878,0.0113206700400543,0.0223876727472448,0.0223873973818504,,ok,
GHL_id_3,GHL,DLinear,200001,184427,0,0,1919,198082,0.0149314526409392,0.0208073167949579,0.0028200591223298,0.0092099150592286,0.014881780640066,0.0207817259787962,0.0028299642321215,0.009211834080903,147795,147276,125,0.6010086731757555,0.0242436310510978,0.6015578243923638,0.0229693821367869,0.0449068329975698,0.0448747179253335,,ok,
GHL_id_25,GHL,DLinear,200001,184427,0,0,3144,196857,0.0343268512854738,0.072581158752287,0.0070484197168523,0.0475447427760091,0.0342464547406788,0.0724938658430698,0.0070082287359385,0.0475293006278262,146570,145899,125,0.5377456732552055,0.0344406780335737,0.5382057112489754,0.0327759476252032,0.0634709403251827,0.0634433771894422,,ok,
GHL_id_23,GHL,DLinear,200001,184427,0,0,3734,196267,0.0152734278631812,0.0287444181570716,0.0027918661848113,0.0147230484821916,0.0151721544940486,0.0286773661151897,0.0027493570620872,0.0146858251310436,145980,145165,125,0.6892002223646843,0.0527022397808525,0.6838816385509537,0.0422024596300713,0.1041523138790452,0.1040647687526998,,ok,
GHL_id_7,GHL,DLinear,200001,184427,0,0,1695,198306,0.0298627504937937,0.0693953733598913,0.0047908366813727,0.0457109605391747,0.0298138693889014,0.0694260170927896,0.0047720199380811,0.045647304856025,148019,147350,125,0.4974042618857832,0.0146436566945969,0.4908811865847859,0.0120767151316729,0.0308220813999004,0.0308134197442213,,ok,
GHL_id_6,GHL,DLinear,200001,184427,0,0,1866,198135,0.0144379799299061,0.0125490948092695,0.0016690443798752,0.0084630076757802,0.0143508976410207,0.0125041447983203,0.001674882491058,0.0084905517999676,147848,147332,125,0.3989224518636283,0.0161429481024578,0.4001265825151523,0.0152716737459795,0.0300836194346603,0.0300652541690163,,ok,
GHL_id_4,GHL,DLinear,200001,184427,0,0,2713,197288,0.0277285985846594,0.0606503610803839,0.0047987490679413,0.0339541706680524,0.0276538034566796,0.060614370272943,0.0048134473962592,0.0339986038941402,147001,146332,125,0.4467504359109525,0.025165239631832,0.4471195652027948,0.0237663486723958,0.0464287902396169,0.0464232852217212,,ok,
GHL_id_5,GHL,DLinear,200001,184427,0,0,2283,197718,0.013989583701775,0.0209158716446986,0.002810222415985,0.0131878448537045,0.0139030952443201,0.0208921227000508,0.0027637755106272,0.0131161034496017,147431,146762,125,0.3411906196615338,0.0150970321122986,0.3335944625222189,0.0125887673143509,0.0322639015046326,0.0322462181669232,,ok,
GHL_id_8,GHL,DLinear,200001,184427,0,0,1168,198833,0.0161126818253629,0.025319242704696,0.0037338411807237,0.0192436809629343,0.0160727281336518,0.0252883072514903,0.0036953763475954,0.0192646117269373,148546,148164,125,0.3013735144568557,0.0085400643349476,0.3020757384034506,0.0081678321678321,0.0162031576319612,0.0153013768619076,,ok,
GHL_id_22,GHL,DLinear,200001,184427,0,0,6492,193509,0.0142952283248842,0.01678423592956,0.0025917431816357,0.0085509101599297,0.0141348064356553,0.016707123193113,0.0024870714830485,0.0085505747615287,143222,142099,125,0.6529032863876852,0.0876603388941106,0.6522301885723607,0.0758207247737645,0.1591161824879614,0.1591078978003798,,ok,
LTDB_id_5,LTDB,DLinear,100000,94775,0,0,505,99495,0.3024885212195439,0.3197114906780587,0.302488521219545,0.3197114906780645,0.3023214130114118,0.3190923944343695,0.3023214130114125,0.319092394434375,83777,82171,7,0.6309421588925062,0.0111994745067574,0.5765907985301858,0.0114970113595891,0.0505609955209716,0.3653198653198653,,ok,
CATSv2_id_3,CATSv2,DLinear,400000,390933,0,0,28000,372000,0.1203734727942082,0.1346547487429762,0.0288779120641067,0.0985548359634762,0.120204640230927,0.1345009499396891,0.0287725323370277,0.0984268100110654,343593,336418,125,0.6044185561155914,0.0948280001696282,0.5429733914472086,0.1123405610998377,0.1737897875575141,0.2549626661810235,,ok,
GHL_id_9,GHL,DLinear,200001,184427,0,0,2387,197614,0.0249084029126749,0.0534080469428093,0.0038429171433816,0.0352512186853497,0.0248006932352345,0.0533387358181806,0.0037975201265831,0.0352257934262443,147327,146658,125,0.4684723883708088,0.0194433700525431,0.4618759722731942,0.0162218774706333,0.0414675635205058,0.0414398930583405,,ok,
MITDB_id_10,MITDB,DLinear,150000,138176,0,0,574,149426,0.0101033281720679,0.0765664459452199,0.0101033281720678,0.0765664459452196,0.0100728540200272,0.0764658052037307,0.0100728540200271,0.0764658052037305,111639,110970,255,0.6720073786654259,0.0253711457667555,0.7480216630904348,0.0774259032998006,0.1490826835538388,0.6666666666666666,,ok,
MITDB_id_5,MITDB,DLinear,100000,91926,0,0,465,99535,0.0122329699159288,0.0826633633729345,0.0122329699159289,0.0826633633729282,0.0121930890696029,0.0825459330541939,0.0121930890696029,0.0825459330541876,74248,73866,271,0.7643223354188373,0.0672221185627709,0.8537496923041427,0.1525705549063467,0.2203356435438641,1.0,,ok,
